Product,Plant,Storage Location
POV002L09P,2120,2030
SOS001L12P,2120,2030
POP002L09P,2120,2030
POP001L12P,2120,2030
POP001L12P,2120,2030
POP001L12P,2120,2030
POV001L24P,2120,2030
POV001L24P,2120,2030
POV001L24P,2120,2030
POV001L24P,2120,2030
SOS005L04P,2120,2030
POP500M24P,2120,2030
ATN01K24P,1920,2030
ATN02K12P,1911,1130
ATN01K24P,1911,1130
MAR02K12P,1911,1130
MAR01K24P,1911,1130
SE500G24P,1911,1130
SOS001L12P,2111,1130
SOS500M24P,2111,1130
SOS001L12P,2111,1130
SOS005L04P,2111,1130
SOS008L02P,2120,2030
SOS005L04P,2120,2030
POV001L24P,2120,2030
POV500M24P,2120,2030
POV500M24P,2120,2030
POV500M24P,2120,2030
AT5X5K,1921,2130
ATN01K24P,1921,2130
ATN01K24P,1921,2130
ATN01K24P,1921,2130
SOS005L04P,2121,2130
ATN01K24P,1920,2030
SE500G24P,1920,2030
MAR01K24P,1920,2030
SOS002L09P,2120,2030
POV002L09P,2120,2030
SOS002L09P,2120,2030
POV500M24P,2120,2030
SOS005L04P,2120,2030
SOS001L12P,2120,2030
SOS002L09P,2120,2030
POV002L09P,2120,2030
ATN01K24P,1917,1730
SOS001L12P,2117,1730
SE200G24P,1920,2030
ATN01K24P,1920,2030
SOS008L02P,2114,1430
SE200G24P,1920,2030
SOS002L09P,2119,1930
SOS002L09P,2120,2030
SOS002L09P,2120,2030
ATN01K24P,1921,2130
POPF01L12P,2121,2130
POPF01L12P,2121,2130
POPF01L12P,2121,2130
POPF01L12P,2121,2130
SOS005L04P,2121,2130
SOS005L04P,2121,2130
SOS005L04P,2121,2130
ATN01K24P,1920,2030
ATN01K24P,1920,2030
ATWWP001K24P,1920,2030
ATN01K24P,1920,2030
ATN01K24P,1920,2030
SOS005L04P,2119,1930
SOS001L12P,2119,1930
SOS500M24P,2119,1930
POP500M24P,2119,1930
POP500M24P,2120,2030
SOS002L09P,2120,2030
SOS002L09P,2120,2030
SOS001L12P,2120,2030
SOS005L04P,2120,2030
SOS001L12P,2120,2030
SOS001L12P,2120,2030
SOS001L12P,2120,2030
POV001L24P,2120,2030
SOS005L04P,2120,2030
SOS001L12P,2120,2030
ATN01K24P,1916,1630
SOS005L04P,2114,1430
SOS500M24P,2114,1430
SE500G24P,1916,1630
ATN01K24P,1916,1630
SE500G24P,1921,2130
POV001L24P,2114,1430
SOS005L04P,2116,1630
SOS001L12P,2116,1630
POP001L12P,2116,1630
POP005L04P,2121,2130
POP002L09P,2121,2130
POP001L12P,2121,2130
POPF01L12P,2121,2130
SOS005L04P,2120,2030
SOS001L12P,2120,2030
ATN01K24P,1920,2030
MAR01K24P,1920,2030
SOS005L04P,2114,1430
SOS005L04P,2114,1430
SOS005L04P,2114,1430
SOS005L04P,2114,1430
SOS005L04P,2114,1430
SOS005L04P,2114,1430
SOS002L09P,2114,1430
SOS001L12P,2114,1430
SOS001L12P,2114,1430
SOS001L12P,2114,1430
SOS001L12P,2114,1430
SOS001L12P,2114,1430
SOS001L12P,2114,1430
SOS001L12P,2114,1430
SOS001L12P,2114,1430
SOS001L12P,2114,1430
SOS005L04P,2116,1630
SOS001L12P,2116,1630
SOS250M48P,2120,2030
SOS500M24P,2120,2030
POV001L24P,2114,1430
POV001L24P,2114,1430
POV001L24P,2114,1430
POV002L09P,2120,2030
POV001L24P,2120,2030
POV500M24P,2120,2030
ATN01K24P,1918,1830
SOS002L09P,2120,2030
SOS002L09P,2120,2030
SOS002L09P,2120,2030
SOS002L09P,2120,2030
ATN01K24P,1918,1830
ATN01K24P,1918,1830
SOS002L09P,2120,2030
SOS002L09P,2120,2030
POV001L24P,2118,1830
POV001L24P,2118,1830
POV001L24P,2118,1830
POV001L24P,2118,1830
POV001L24P,2118,1830
SOS002L09P,2120,2030
ATN01K24P,1920,2030
SOS002L09P,2120,2030
SOS001L12P,2117,1730
SOS002L09P,2120,2030
POP001L12P,2120,2030
POP500M24P,2120,2030
SOS001L12P,2117,1730
SOS001L12P,2120,2030
ATN01K24P,1920,2030
ATN01K24P,1920,2030
ATN01K24P,1920,2030
SOS002L09P,2117,1730
SOS001L12P,2120,2030
POP001L12P,2117,1730
ATN01K24P,1920,2030
ATN01K24P,1920,2030
ATN01K24P,1917,1730
ATN01K24P,1917,1730
POV001L24P,2119,1930
SOS005L04P,2119,1930
SOS001L12P,2119,1930
SOS500M24P,2119,1930
SOS002L09P,2119,1930
AT5X5K,1921,2130
AT5X5K,1921,2130
AT5X5K,1921,2130
ATN02K12P,1921,2130
ATN02K12P,1921,2130
ATN02K12P,1921,2130
ATN01K24P,1921,2130
ATN01K24P,1921,2130
ATN01K24P,1921,2130
SOS005L04P,2121,2130
SOS003L04P,2121,2130
SOS005L04P,2121,2130
SOS001L12P,2120,2030
POV001L24P,2120,2030
SOS250M48P,2120,2030
ATN01K24P,1920,2030
POP001L12P,2120,2030
POP500M24P,2120,2030
SOS002L09P,2120,2030
SOS005L04P,2112,1230
SOS001L12P,2112,1230
SOS500M24P,2112,1230
SOS005L04P,2117,1730
SOS001L12P,2117,1730
ATN01K24P,1920,2030
SOS001L12P,2117,1730
SOS500M24P,2117,1730
SOS005L04P,2117,1730
ATWWP001K24P,1920,2030
ATN01K24P,1920,2030
SOS002L09P,2112,1230
SOS005L04P,2117,1730
SOS001L12P,2117,1730
POP001L12P,2117,1730
POV002L09P,2120,2030
SOS001L12P,2120,2030
ATN01K24P,1917,1730
SOS001L12P,2120,2030
POV002L09P,2120,2030
POV001L24P,2120,2030
ATWWP001K24P,1917,1730
ATN01K24P,1917,1730
SOS005L04P,2120,2030
SOS003L04P,2120,2030
SOS001L12P,2120,2030
ATN01K24P,1916,1630
SOS005L04P,2112,1230
SOS001L12P,2112,1230
SOS500M24P,2112,1230
POP001L12P,2112,1230
SOS005L04P,2116,1630
SOS003L04P,2116,1630
POV005L04P,2116,1630
POV005L04P,2116,1630
POV005L04P,2116,1630
POV500M24P,2116,1630
SOS002L09P,2112,1230
SE500G24P,1921,2130
AT5X5K,1916,1630
ATN01K24P,1916,1630
SOS001L12P,2119,1930
SOS500M24P,2119,1930
SOS001L12P,2119,1930
SOS500M24P,2119,1930
SOS001L12P,2119,1930
SOS500M24P,2119,1930
SOS250M48P,2119,1930
SOS002L09P,2119,1930
SOS005L04P,2114,1430
SOS002L09P,2119,1930
SOS002L09P,2119,1930
SOS002L09P,2119,1930
ATN01K24P,1919,1930
