Plant,node1,node2
1901,ATWWP001K24P,ATN01K24P
1903,AT5X5K,ATN01K24P
1903,AT5X5K,MAR01K24P
1903,AT5X5K,SE500G24P
1903,AT5X5K,MASR025K
1903,AT5X5K,ATN02K12P
1903,AT5X5K,SE200G24P
1903,AT5X5K,MAR02K12P
1903,ATN01K24P,MAR01K24P
1903,ATN01K24P,SE500G24P
1903,ATN01K24P,MASR025K
1903,ATN01K24P,ATN02K12P
1903,ATN01K24P,SE200G24P
1903,ATN01K24P,MAR02K12P
1903,MAR01K24P,SE500G24P
1903,MAR01K24P,MASR025K
1903,MAR01K24P,ATN02K12P
1903,MAR01K24P,SE200G24P
1903,MAR01K24P,MAR02K12P
1903,SE500G24P,MASR025K
1903,SE500G24P,ATN02K12P
1903,SE500G24P,SE200G24P
1903,SE500G24P,MAR02K12P
1903,MASR025K,ATN02K12P
1903,MASR025K,SE200G24P
1903,MASR025K,MAR02K12P
1903,ATN02K12P,SE200G24P
1903,ATN02K12P,MAR02K12P
1903,SE200G24P,MAR02K12P
1911,ATN02K12P,ATN01K24P
1911,ATN02K12P,MAR02K12P
1911,ATN02K12P,MAR01K24P
1911,ATN02K12P,SE500G24P
1911,ATN02K12P,ATWWP001K24P
1911,ATN02K12P,MASR025K
1911,ATN02K12P,AT5X5K
1911,ATN02K12P,ATPA1K24P
1911,ATN02K12P,MAP1K25P
1911,ATN01K24P,MAR02K12P
1911,ATN01K24P,MAR01K24P
1911,ATN01K24P,SE500G24P
1911,ATN01K24P,ATWWP001K24P
1911,ATN01K24P,MASR025K
1911,ATN01K24P,AT5X5K
1911,ATN01K24P,ATPA1K24P
1911,ATN01K24P,MAP1K25P
1911,MAR02K12P,MAR01K24P
1911,MAR02K12P,SE500G24P
1911,MAR02K12P,ATWWP001K24P
1911,MAR02K12P,MASR025K
1911,MAR02K12P,AT5X5K
1911,MAR02K12P,ATPA1K24P
1911,MAR02K12P,MAP1K25P
1911,MAR01K24P,SE500G24P
1911,MAR01K24P,ATWWP001K24P
1911,MAR01K24P,MASR025K
1911,MAR01K24P,AT5X5K
1911,MAR01K24P,ATPA1K24P
1911,MAR01K24P,MAP1K25P
1911,SE500G24P,ATWWP001K24P
1911,SE500G24P,MASR025K
1911,SE500G24P,AT5X5K
1911,SE500G24P,ATPA1K24P
1911,SE500G24P,MAP1K25P
1911,ATWWP001K24P,MASR025K
1911,ATWWP001K24P,AT5X5K
1911,ATWWP001K24P,ATPA1K24P
1911,ATWWP001K24P,MAP1K25P
1911,MASR025K,AT5X5K
1911,MASR025K,ATPA1K24P
1911,MASR025K,MAP1K25P
1911,AT5X5K,ATPA1K24P
1911,AT5X5K,MAP1K25P
1911,ATPA1K24P,MAP1K25P
1912,SE500G24P,ATN01K24P
1912,SE500G24P,ATN02K12P
1912,SE500G24P,AT5X5K
1912,SE500G24P,MAR01K24P
1912,SE500G24P,ATWWP001K24P
1912,SE500G24P,MAR02K12P
1912,SE500G24P,MASR025K
1912,ATN01K24P,ATN02K12P
1912,ATN01K24P,AT5X5K
1912,ATN01K24P,MAR01K24P
1912,ATN01K24P,ATWWP001K24P
1912,ATN01K24P,MAR02K12P
1912,ATN01K24P,MASR025K
1912,ATN02K12P,AT5X5K
1912,ATN02K12P,MAR01K24P
1912,ATN02K12P,ATWWP001K24P
1912,ATN02K12P,MAR02K12P
1912,ATN02K12P,MASR025K
1912,AT5X5K,MAR01K24P
1912,AT5X5K,ATWWP001K24P
1912,AT5X5K,MAR02K12P
1912,AT5X5K,MASR025K
1912,MAR01K24P,ATWWP001K24P
1912,MAR01K24P,MAR02K12P
1912,MAR01K24P,MASR025K
1912,ATWWP001K24P,MAR02K12P
1912,ATWWP001K24P,MASR025K
1912,MAR02K12P,MASR025K
1914,MAR01K24P,ATN01K24P
1914,MAR01K24P,AT5X5K
1914,MAR01K24P,ATWWP001K24P
1914,MAR01K24P,MASR025K
1914,MAR01K24P,SE200G24P
1914,MAR01K24P,SE500G24P
1914,MAR01K24P,MAHS025K
1914,ATN01K24P,AT5X5K
1914,ATN01K24P,ATWWP001K24P
1914,ATN01K24P,MASR025K
1914,ATN01K24P,SE200G24P
1914,ATN01K24P,SE500G24P
1914,ATN01K24P,MAHS025K
1914,AT5X5K,ATWWP001K24P
1914,AT5X5K,MASR025K
1914,AT5X5K,SE200G24P
1914,AT5X5K,SE500G24P
1914,AT5X5K,MAHS025K
1914,ATWWP001K24P,MASR025K
1914,ATWWP001K24P,SE200G24P
1914,ATWWP001K24P,SE500G24P
1914,ATWWP001K24P,MAHS025K
1914,MASR025K,SE200G24P
1914,MASR025K,SE500G24P
1914,MASR025K,MAHS025K
1914,SE200G24P,SE500G24P
1914,SE200G24P,MAHS025K
1914,SE500G24P,MAHS025K
1915,ATN01K24P,MAR01K24P
1915,ATN01K24P,ATWWP001K24P
1915,ATN01K24P,AT5X5K
1915,ATN01K24P,SE500G24P
1915,ATN01K24P,SE200G24P
1915,ATN01K24P,MAPA1K24P
1915,ATN01K24P,MAC1K25P
1915,MAR01K24P,ATWWP001K24P
1915,MAR01K24P,AT5X5K
1915,MAR01K24P,SE500G24P
1915,MAR01K24P,SE200G24P
1915,MAR01K24P,MAPA1K24P
1915,MAR01K24P,MAC1K25P
1915,ATWWP001K24P,AT5X5K
1915,ATWWP001K24P,SE500G24P
1915,ATWWP001K24P,SE200G24P
1915,ATWWP001K24P,MAPA1K24P
1915,ATWWP001K24P,MAC1K25P
1915,AT5X5K,SE500G24P
1915,AT5X5K,SE200G24P
1915,AT5X5K,MAPA1K24P
1915,AT5X5K,MAC1K25P
1915,SE500G24P,SE200G24P
1915,SE500G24P,MAPA1K24P
1915,SE500G24P,MAC1K25P
1915,SE200G24P,MAPA1K24P
1915,SE200G24P,MAC1K25P
1915,MAPA1K24P,MAC1K25P
1916,ATN01K24P,SE500G24P
1916,ATN01K24P,AT5X5K
1916,ATN01K24P,ATN02K12P
1916,ATN01K24P,MAR01K24P
1916,SE500G24P,AT5X5K
1916,SE500G24P,ATN02K12P
1916,SE500G24P,MAR01K24P
1916,AT5X5K,ATN02K12P
1916,AT5X5K,MAR01K24P
1916,ATN02K12P,MAR01K24P
1917,ATN01K24P,ATWWP001K24P
1917,ATN01K24P,SE500G24P
1917,ATN01K24P,MAR01K24P
1917,ATN01K24P,AT5X5K
1917,ATN01K24P,ATN02K12P
1917,ATWWP001K24P,SE500G24P
1917,ATWWP001K24P,MAR01K24P
1917,ATWWP001K24P,AT5X5K
1917,ATWWP001K24P,ATN02K12P
1917,SE500G24P,MAR01K24P
1917,SE500G24P,AT5X5K
1917,SE500G24P,ATN02K12P
1917,MAR01K24P,AT5X5K
1917,MAR01K24P,ATN02K12P
1917,AT5X5K,ATN02K12P
1918,ATN01K24P,MAR01K24P
1918,ATN01K24P,ATN02K12P
1918,ATN01K24P,SE500G24P
1918,ATN01K24P,ATWWP001K24P
1918,ATN01K24P,AT5X5K
1918,ATN01K24P,SE200G24P
1918,MAR01K24P,ATN02K12P
1918,MAR01K24P,SE500G24P
1918,MAR01K24P,ATWWP001K24P
1918,MAR01K24P,AT5X5K
1918,MAR01K24P,SE200G24P
1918,ATN02K12P,SE500G24P
1918,ATN02K12P,ATWWP001K24P
1918,ATN02K12P,AT5X5K
1918,ATN02K12P,SE200G24P
1918,SE500G24P,ATWWP001K24P
1918,SE500G24P,AT5X5K
1918,SE500G24P,SE200G24P
1918,ATWWP001K24P,AT5X5K
1918,ATWWP001K24P,SE200G24P
1918,AT5X5K,SE200G24P
1919,ATN01K24P,MAR01K24P
1919,ATN01K24P,SE500G24P
1919,ATN01K24P,SE200G24P
1919,ATN01K24P,MAHS025K
1919,ATN01K24P,AT5X5K
1919,ATN01K24P,MASR025K
1919,MAR01K24P,SE500G24P
1919,MAR01K24P,SE200G24P
1919,MAR01K24P,MAHS025K
1919,MAR01K24P,AT5X5K
1919,MAR01K24P,MASR025K
1919,SE500G24P,SE200G24P
1919,SE500G24P,MAHS025K
1919,SE500G24P,AT5X5K
1919,SE500G24P,MASR025K
1919,SE200G24P,MAHS025K
1919,SE200G24P,AT5X5K
1919,SE200G24P,MASR025K
1919,MAHS025K,AT5X5K
1919,MAHS025K,MASR025K
1919,AT5X5K,MASR025K
1920,ATN01K24P,SE500G24P
1920,ATN01K24P,MAR01K24P
1920,ATN01K24P,SE200G24P
1920,ATN01K24P,ATWWP001K24P
1920,ATN01K24P,AT5X5K
1920,ATN01K24P,ATN02K12P
1920,ATN01K24P,MASR025K
1920,ATN01K24P,MAHS025K
1920,ATN01K24P,ATWWP002K12P
1920,ATN01K24P,ATPPCH5X5K
1920,ATN01K24P,EEA500G12P
1920,ATN01K24P,EEA200G24P
1920,SE500G24P,MAR01K24P
1920,SE500G24P,SE200G24P
1920,SE500G24P,ATWWP001K24P
1920,SE500G24P,AT5X5K
1920,SE500G24P,ATN02K12P
1920,SE500G24P,MASR025K
1920,SE500G24P,MAHS025K
1920,SE500G24P,ATWWP002K12P
1920,SE500G24P,ATPPCH5X5K
1920,SE500G24P,EEA500G12P
1920,SE500G24P,EEA200G24P
1920,MAR01K24P,SE200G24P
1920,MAR01K24P,ATWWP001K24P
1920,MAR01K24P,AT5X5K
1920,MAR01K24P,ATN02K12P
1920,MAR01K24P,MASR025K
1920,MAR01K24P,MAHS025K
1920,MAR01K24P,ATWWP002K12P
1920,MAR01K24P,ATPPCH5X5K
1920,MAR01K24P,EEA500G12P
1920,MAR01K24P,EEA200G24P
1920,SE200G24P,ATWWP001K24P
1920,SE200G24P,AT5X5K
1920,SE200G24P,ATN02K12P
1920,SE200G24P,MASR025K
1920,SE200G24P,MAHS025K
1920,SE200G24P,ATWWP002K12P
1920,SE200G24P,ATPPCH5X5K
1920,SE200G24P,EEA500G12P
1920,SE200G24P,EEA200G24P
1920,ATWWP001K24P,AT5X5K
1920,ATWWP001K24P,ATN02K12P
1920,ATWWP001K24P,MASR025K
1920,ATWWP001K24P,MAHS025K
1920,ATWWP001K24P,ATWWP002K12P
1920,ATWWP001K24P,ATPPCH5X5K
1920,ATWWP001K24P,EEA500G12P
1920,ATWWP001K24P,EEA200G24P
1920,AT5X5K,ATN02K12P
1920,AT5X5K,MASR025K
1920,AT5X5K,MAHS025K
1920,AT5X5K,ATWWP002K12P
1920,AT5X5K,ATPPCH5X5K
