node1,node2,GroupCode
SOS008L02P,SOS005L04P,S
SOS008L02P,SOS003L04P,S
SOS008L02P,SOS002L09P,S
SOS008L02P,SOS001L12P,S
SOS008L02P,SOS500M24P,S
SOS008L02P,SOS250M48P,S
SOS008L02P,SOP001L12P,S
SOS008L02P,SO0005L04P,S
SOS008L02P,SO0002L09P,S
SOS008L02P,SO0001L12P,S
SOS008L02P,SO0500M24P,S
SOS008L02P,SE500G24P,S
SOS008L02P,SE200G24P,S
SOS005L04P,SOS003L04P,S
SOS005L04P,SOS002L09P,S
SOS005L04P,SOS001L12P,S
SOS005L04P,SOS500M24P,S
SOS005L04P,SOS250M48P,S
SOS005L04P,SOP001L12P,S
SOS005L04P,SO0005L04P,S
SOS005L04P,SO0002L09P,S
SOS005L04P,SO0001L12P,S
SOS005L04P,SO0500M24P,S
SOS005L04P,SE500G24P,S
SOS005L04P,SE200G24P,S
SOS003L04P,SOS002L09P,S
SOS003L04P,SOS001L12P,S
SOS003L04P,SOS500M24P,S
SOS003L04P,SOS250M48P,S
SOS003L04P,SOP001L12P,S
SOS003L04P,SO0005L04P,S
SOS003L04P,SO0002L09P,S
SOS003L04P,SO0001L12P,S
SOS003L04P,SO0500M24P,S
SOS003L04P,SE500G24P,S
SOS003L04P,SE200G24P,S
SOS002L09P,SOS001L12P,S
SOS002L09P,SOS500M24P,S
SOS002L09P,SOS250M48P,S
SOS002L09P,SOP001L12P,S
SOS002L09P,SO0005L04P,S
SOS002L09P,SO0002L09P,S
SOS002L09P,SO0001L12P,S
SOS002L09P,SO0500M24P,S
SOS002L09P,SE500G24P,S
SOS002L09P,SE200G24P,S
SOS001L12P,SOS500M24P,S
SOS001L12P,SOS250M48P,S
SOS001L12P,SOP001L12P,S
SOS001L12P,SO0005L04P,S
SOS001L12P,SO0002L09P,S
SOS001L12P,SO0001L12P,S
SOS001L12P,SO0500M24P,S
SOS001L12P,SE500G24P,S
SOS001L12P,SE200G24P,S
SOS500M24P,SOS250M48P,S
SOS500M24P,SOP001L12P,S
SOS500M24P,SO0005L04P,S
SOS500M24P,SO0002L09P,S
SOS500M24P,SO0001L12P,S
SOS500M24P,SO0500M24P,S
SOS500M24P,SE500G24P,S
SOS500M24P,SE200G24P,S
SOS250M48P,SOP001L12P,S
SOS250M48P,SO0005L04P,S
SOS250M48P,SO0002L09P,S
SOS250M48P,SO0001L12P,S
SOS250M48P,SO0500M24P,S
SOS250M48P,SE500G24P,S
SOS250M48P,SE200G24P,S
SOP001L12P,SO0005L04P,S
SOP001L12P,SO0002L09P,S
SOP001L12P,SO0001L12P,S
SOP001L12P,SO0500M24P,S
SOP001L12P,SE500G24P,S
SOP001L12P,SE200G24P,S
SO0005L04P,SO0002L09P,S
SO0005L04P,SO0001L12P,S
SO0005L04P,SO0500M24P,S
SO0005L04P,SE500G24P,S
SO0005L04P,SE200G24P,S
SO0002L09P,SO0001L12P,S
SO0002L09P,SO0500M24P,S
SO0002L09P,SE500G24P,S
SO0002L09P,SE200G24P,S
SO0001L12P,SO0500M24P,S
SO0001L12P,SE500G24P,S
SO0001L12P,SE200G24P,S
SO0500M24P,SE500G24P,S
SO0500M24P,SE200G24P,S
SE500G24P,SE200G24P,S
EEA500G12P,EEA200G24P,S
POV005L04P,POV002L09P,P
POV005L04P,POV001L24P,P
POV005L04P,POV500M24P,P
POV005L04P,POP001L12P,P
POV005L04P,POP015K,P
POV005L04P,POP005L04P,P
POV005L04P,POP002L09P,P
POV005L04P,POP001L12P,P
POV005L04P,POP500M24P,P
POV005L04P,POPF01L12P,P
POV002L09P,POV001L24P,P
POV002L09P,POV500M24P,P
POV002L09P,POP001L12P,P
POV002L09P,POP015K,P
POV002L09P,POP005L04P,P
POV002L09P,POP002L09P,P
POV002L09P,POP001L12P,P
POV002L09P,POP500M24P,P
POV002L09P,POPF01L12P,P
POV001L24P,POV500M24P,P
POV001L24P,POP001L12P,P
POV001L24P,POP015K,P
POV001L24P,POP005L04P,P
POV001L24P,POP002L09P,P
POV001L24P,POP001L12P,P
POV001L24P,POP500M24P,P
POV001L24P,POPF01L12P,P
POV500M24P,POP001L12P,P
POV500M24P,POP015K,P
POV500M24P,POP005L04P,P
POV500M24P,POP002L09P,P
POV500M24P,POP001L12P,P
POV500M24P,POP500M24P,P
POV500M24P,POPF01L12P,P
POP001L12P,POP015K,P
POP001L12P,POP005L04P,P
POP001L12P,POP002L09P,P
POP001L12P,POP500M24P,P
POP001L12P,POPF01L12P,P
POP015K,POP005L04P,P
POP015K,POP002L09P,P
POP015K,POP001L12P,P
POP015K,POP500M24P,P
POP015K,POPF01L12P,P
POP005L04P,POP002L09P,P
POP005L04P,POP001L12P,P
POP005L04P,POP500M24P,P
POP005L04P,POPF01L12P,P
POP002L09P,POP001L12P,P
POP002L09P,POP500M24P,P
POP002L09P,POPF01L12P,P
POP001L12P,POP500M24P,P
POP001L12P,POPF01L12P,P
POP500M24P,POPF01L12P,P
AT5X5K,ATN02K12P,A
AT5X5K,ATN01K24P,A
AT5X5K,ATWWP002K12P,A
AT5X5K,ATWWP001K24P,A
AT5X5K,ATPPCH5X5K,A
AT5X5K,ATPA1K24P,A
ATN02K12P,ATN01K24P,A
ATN02K12P,ATWWP002K12P,A
ATN02K12P,ATWWP001K24P,A
ATN02K12P,ATPPCH5X5K,A
ATN02K12P,ATPA1K24P,A
ATN01K24P,ATWWP002K12P,A
ATN01K24P,ATWWP001K24P,A
ATN01K24P,ATPPCH5X5K,A
ATN01K24P,ATPA1K24P,A
ATWWP002K12P,ATWWP001K24P,A
ATWWP002K12P,ATPPCH5X5K,A
ATWWP002K12P,ATPA1K24P,A
ATWWP001K24P,ATPPCH5X5K,A
ATWWP001K24P,ATPA1K24P,A
ATPPCH5X5K,ATPA1K24P,A
MAR02K12P,MAR01K24P,M
MAR02K12P,MASR025K,M
MAR02K12P,MAHS025K,M
MAR02K12P,MAPA1K24P,M
MAR02K12P,MAP1K25P,M
