node1,node2,GroupCode
0,1,S
0,2,S
0,3,S
0,4,S
0,5,S
0,6,S
0,7,S
0,14,S
0,15,S
0,16,S
0,17,S
0,31,S
0,32,S
1,2,S
1,3,S
1,4,S
1,5,S
1,6,S
1,7,S
1,14,S
1,15,S
1,16,S
1,17,S
1,31,S
1,32,S
2,3,S
2,4,S
2,5,S
2,6,S
2,7,S
2,14,S
2,15,S
2,16,S
2,17,S
2,31,S
2,32,S
3,4,S
3,5,S
3,6,S
3,7,S
3,14,S
3,15,S
3,16,S
3,17,S
3,31,S
3,32,S
4,5,S
4,6,S
4,7,S
4,14,S
4,15,S
4,16,S
4,17,S
4,31,S
4,32,S
5,6,S
5,7,S
5,14,S
5,15,S
5,16,S
5,17,S
5,31,S
5,32,S
6,7,S
6,14,S
6,15,S
6,16,S
6,17,S
6,31,S
6,32,S
7,14,S
7,15,S
7,16,S
7,17,S
7,31,S
7,32,S
14,15,S
14,16,S
14,17,S
14,31,S
14,32,S
15,16,S
15,17,S
15,31,S
15,32,S
16,17,S
16,31,S
16,32,S
17,31,S
17,32,S
31,32,S
38,39,S
8,9,P
8,10,P
8,11,P
8,12,P
8,13,P
8,18,P
8,19,P
8,12,P
8,20,P
8,21,P
9,10,P
9,11,P
9,12,P
9,13,P
9,18,P
9,19,P
9,12,P
9,20,P
9,21,P
10,11,P
10,12,P
10,13,P
10,18,P
10,19,P
10,12,P
10,20,P
10,21,P
11,12,P
11,13,P
11,18,P
11,19,P
11,12,P
11,20,P
11,21,P
12,13,P
12,18,P
12,19,P
12,20,P
12,21,P
13,18,P
13,19,P
13,12,P
13,20,P
13,21,P
18,19,P
18,12,P
18,20,P
18,21,P
19,12,P
19,20,P
19,21,P
12,20,P
12,21,P
20,21,P
22,23,A
22,24,A
22,27,A
22,28,A
22,33,A
22,34,A
23,24,A
23,27,A
23,28,A
23,33,A
23,34,A
24,27,A
24,28,A
24,33,A
24,34,A
27,28,A
27,33,A
27,34,A
28,33,A
28,34,A
33,34,A
25,26,M
25,29,M
25,30,M
25,35,M
25,36,M
25,37,M
26,29,M
26,30,M
26,35,M
26,36,M
26,37,M
29,30,M
29,35,M
29,36,M
29,37,M
30,35,M
30,36,M
30,37,M
35,36,M
35,37,M
36,37,M
