Plant,node1,node2
1901,28,24
1903,22,24
1903,22,26
1903,22,31
1903,22,29
1903,22,23
1903,22,32
1903,22,25
1903,24,26
1903,24,31
1903,24,29
1903,24,23
1903,24,32
1903,24,25
1903,26,31
1903,26,29
1903,26,23
1903,26,32
1903,26,25
1903,31,29
1903,31,23
1903,31,32
1903,31,25
1903,29,23
1903,29,32
1903,29,25
1903,23,32
1903,23,25
1903,32,25
1911,23,24
1911,23,25
1911,23,26
1911,23,31
1911,23,28
1911,23,29
1911,23,22
1911,23,34
1911,23,36
1911,24,25
1911,24,26
1911,24,31
1911,24,28
1911,24,29
1911,24,22
1911,24,34
1911,24,36
1911,25,26
1911,25,31
1911,25,28
1911,25,29
1911,25,22
1911,25,34
1911,25,36
1911,26,31
1911,26,28
1911,26,29
1911,26,22
1911,26,34
1911,26,36
1911,31,28
1911,31,29
1911,31,22
1911,31,34
1911,31,36
1911,28,29
1911,28,22
1911,28,34
1911,28,36
1911,29,22
1911,29,34
1911,29,36
1911,22,34
1911,22,36
1911,34,36
1912,31,24
1912,31,23
1912,31,22
1912,31,26
1912,31,28
1912,31,25
1912,31,29
1912,24,23
1912,24,22
1912,24,26
1912,24,28
1912,24,25
1912,24,29
1912,23,22
1912,23,26
1912,23,28
1912,23,25
1912,23,29
1912,22,26
1912,22,28
1912,22,25
1912,22,29
1912,26,28
1912,26,25
1912,26,29
1912,28,25
1912,28,29
1912,25,29
1914,26,24
1914,26,22
1914,26,28
1914,26,29
1914,26,32
1914,26,31
1914,26,30
1914,24,22
1914,24,28
1914,24,29
1914,24,32
1914,24,31
1914,24,30
1914,22,28
1914,22,29
1914,22,32
1914,22,31
1914,22,30
1914,28,29
1914,28,32
1914,28,31
1914,28,30
1914,29,32
1914,29,31
1914,29,30
1914,32,31
1914,32,30
1914,31,30
1915,24,26
1915,24,28
1915,24,22
1915,24,31
1915,24,32
1915,24,35
1915,24,37
1915,26,28
1915,26,22
1915,26,31
1915,26,32
1915,26,35
1915,26,37
1915,28,22
1915,28,31
1915,28,32
1915,28,35
1915,28,37
1915,22,31
1915,22,32
1915,22,35
1915,22,37
1915,31,32
1915,31,35
1915,31,37
1915,32,35
1915,32,37
1915,35,37
1916,24,31
1916,24,22
1916,24,23
1916,24,26
1916,31,22
1916,31,23
1916,31,26
1916,22,23
1916,22,26
1916,23,26
1917,24,28
1917,24,31
1917,24,26
1917,24,22
1917,24,23
1917,28,31
1917,28,26
1917,28,22
1917,28,23
1917,31,26
1917,31,22
1917,31,23
1917,26,22
1917,26,23
1917,22,23
1918,24,26
1918,24,23
1918,24,31
1918,24,28
1918,24,22
1918,24,32
1918,26,23
1918,26,31
1918,26,28
1918,26,22
1918,26,32
1918,23,31
1918,23,28
1918,23,22
1918,23,32
1918,31,28
1918,31,22
1918,31,32
1918,28,22
1918,28,32
1918,22,32
1919,24,26
1919,24,31
1919,24,32
1919,24,30
1919,24,22
1919,24,29
1919,26,31
1919,26,32
1919,26,30
1919,26,22
1919,26,29
1919,31,32
1919,31,30
1919,31,22
1919,31,29
1919,32,30
1919,32,22
1919,32,29
1919,30,22
1919,30,29
1919,22,29
1920,24,31
1920,24,26
1920,24,32
1920,24,28
1920,24,22
1920,24,23
1920,24,29
1920,24,30
1920,24,27
1920,24,33
1920,24,38
1920,24,39
1920,31,26
1920,31,32
1920,31,28
1920,31,22
1920,31,23
1920,31,29
1920,31,30
1920,31,27
1920,31,33
1920,31,38
1920,31,39
1920,26,32
1920,26,28
1920,26,22
1920,26,23
1920,26,29
1920,26,30
1920,26,27
1920,26,33
1920,26,38
1920,26,39
1920,32,28
1920,32,22
1920,32,23
1920,32,29
1920,32,30
1920,32,27
1920,32,33
1920,32,38
1920,32,39
1920,28,22
1920,28,23
1920,28,29
1920,28,30
1920,28,27
1920,28,33
1920,28,38
1920,28,39
1920,22,23
1920,22,29
1920,22,30
1920,22,27
1920,22,33
1920,22,38
1920,22,39
1920,23,29
1920,23,30
1920,23,27
1920,23,33
1920,23,38
1920,23,39
1920,29,30
1920,29,27
1920,29,33
1920,29,38
1920,29,39
1920,30,27
1920,30,33
1920,30,38
1920,30,39
1920,27,33
1920,27,38
1920,27,39
1920,33,38
1920,33,39
1920,38,39
1921,22,24
1921,22,31
1921,22,23
1921,22,26
1921,22,28
1921,24,31
1921,24,23
1921,24,26
1921,24,28
1921,31,23
1921,31,26
1921,31,28
1921,23,26
1921,23,28
1921,26,28
1922,24,22
1922,24,31
1922,24,23
1922,24,26
1922,24,30
1922,22,31
1922,22,23
1922,22,26
1922,22,30
1922,31,23
1922,31,26
1922,31,30
1922,23,26
1922,23,30
1922,26,30
2103,1,3
2103,1,2
2103,1,5
2103,1,4
2103,1,10
2103,1,11
2103,1,0
2103,1,19
2103,1,20
2103,1,9
2103,1,8
2103,1,12
2103,1,18
2103,1,21
2103,1,7
2103,3,2
2103,3,5
2103,3,4
2103,3,10
2103,3,11
2103,3,0
2103,3,19
2103,3,20
2103,3,9
2103,3,8
2103,3,12
2103,3,18
2103,3,21
2103,3,7
2103,2,5
2103,2,4
2103,2,10
2103,2,11
2103,2,0
2103,2,19
2103,2,20
2103,2,9
2103,2,8
2103,2,12
2103,2,18
2103,2,21
2103,2,7
2103,5,4
2103,5,10
2103,5,11
2103,5,0
2103,5,19
2103,5,20
2103,5,9
2103,5,8
2103,5,12
2103,5,18
2103,5,21
2103,5,7
2103,4,10
2103,4,11
2103,4,0
2103,4,19
2103,4,20
2103,4,9
2103,4,8
2103,4,12
2103,4,18
2103,4,21
2103,4,7
2103,10,11
2103,10,0
2103,10,19
2103,10,20
2103,10,9
2103,10,8
2103,10,12
2103,10,18
2103,10,21
2103,10,7
2103,11,0
2103,11,19
2103,11,20
2103,11,9
2103,11,8
2103,11,12
2103,11,18
2103,11,21
2103,11,7
2103,0,19
2103,0,20
2103,0,9
2103,0,8
2103,0,12
2103,0,18
2103,0,21
2103,0,7
2103,19,20
2103,19,9
2103,19,8
2103,19,12
2103,19,18
2103,19,21
2103,19,7
2103,20,9
2103,20,8
2103,20,12
2103,20,18
2103,20,21
2103,20,7
2103,9,8
2103,9,12
2103,9,18
2103,9,21
2103,9,7
2103,8,12
2103,8,18
2103,8,21
2103,8,7
2103,12,18
2103,12,21
2103,12,7
2103,18,21
2103,18,7
2103,21,7
2111,4,5
2111,4,1
2111,4,3
2111,4,2
2111,4,12
2111,4,20
2111,4,10
2111,4,0
2111,4,9
2111,4,6
2111,4,7
2111,5,1
2111,5,3
2111,5,2
2111,5,12
2111,5,20
2111,5,10
2111,5,0
2111,5,9
2111,5,6
2111,5,7
2111,1,3
2111,1,2
2111,1,12
2111,1,20
2111,1,10
2111,1,0
2111,1,9
2111,1,6
2111,1,7
2111,3,2
2111,3,12
2111,3,20
2111,3,10
2111,3,0
2111,3,9
2111,3,6
2111,3,7
2111,2,12
2111,2,20
2111,2,10
2111,2,0
2111,2,9
2111,2,6
2111,2,7
2111,12,20
2111,12,10
2111,12,0
2111,12,9
2111,12,6
2111,12,7
2111,20,10
2111,20,0
2111,20,9
2111,20,6
2111,20,7
2111,10,0
2111,10,9
2111,10,6
2111,10,7
2111,0,9
2111,0,6
2111,0,7
2111,9,6
2111,9,7
2111,6,7
2112,1,4
2112,1,5
2112,1,3
2112,1,12
2112,1,20
2112,1,11
2112,1,6
2112,1,2
2112,1,19
2112,1,0
2112,1,10
2112,1,9
2112,1,8
2112,1,18
2112,4,5
2112,4,3
2112,4,12
2112,4,20
2112,4,11
2112,4,6
2112,4,2
2112,4,19
2112,4,0
2112,4,10
2112,4,9
2112,4,8
2112,4,18
2112,5,3
2112,5,12
2112,5,20
2112,5,11
2112,5,6
2112,5,2
2112,5,19
2112,5,0
2112,5,10
2112,5,9
2112,5,8
2112,5,18
2112,3,12
2112,3,20
2112,3,11
2112,3,6
2112,3,2
2112,3,19
2112,3,0
2112,3,10
2112,3,9
2112,3,8
2112,3,18
2112,12,20
2112,12,11
2112,12,6
2112,12,2
2112,12,19
2112,12,0
2112,12,10
2112,12,9
2112,12,8
2112,12,18
2112,20,11
2112,20,6
2112,20,2
2112,20,19
2112,20,0
2112,20,10
2112,20,9
2112,20,8
2112,20,18
2112,11,6
2112,11,2
2112,11,19
2112,11,0
2112,11,10
2112,11,9
2112,11,8
2112,11,18
2112,6,2
2112,6,19
2112,6,0
2112,6,10
2112,6,9
2112,6,8
2112,6,18
2112,2,19
2112,2,0
2112,2,10
2112,2,9
2112,2,8
2112,2,18
2112,19,0
2112,19,10
2112,19,9
2112,19,8
2112,19,18
2112,0,10
2112,0,9
2112,0,8
2112,0,18
