Storage Location,node1,node2
130.0,28,24
330.0,1,3
330.0,1,2
330.0,1,5
330.0,1,4
330.0,1,22
330.0,1,10
330.0,1,11
330.0,1,24
330.0,1,26
330.0,1,31
330.0,1,0
330.0,1,19
330.0,1,20
330.0,1,9
330.0,1,8
330.0,1,12
330.0,1,18
330.0,1,21
330.0,1,29
330.0,1,7
330.0,1,23
330.0,1,32
330.0,1,25
330.0,3,2
330.0,3,5
330.0,3,4
330.0,3,22
330.0,3,10
330.0,3,11
330.0,3,24
330.0,3,26
330.0,3,31
330.0,3,0
330.0,3,19
330.0,3,20
330.0,3,9
330.0,3,8
330.0,3,12
330.0,3,18
330.0,3,21
330.0,3,29
330.0,3,7
330.0,3,23
330.0,3,32
330.0,3,25
330.0,2,5
330.0,2,4
330.0,2,22
330.0,2,10
330.0,2,11
330.0,2,24
330.0,2,26
330.0,2,31
330.0,2,0
330.0,2,19
330.0,2,20
330.0,2,9
330.0,2,8
330.0,2,12
330.0,2,18
330.0,2,21
330.0,2,29
330.0,2,7
330.0,2,23
330.0,2,32
330.0,2,25
330.0,5,4
330.0,5,22
330.0,5,10
330.0,5,11
330.0,5,24
330.0,5,26
330.0,5,31
330.0,5,0
330.0,5,19
330.0,5,20
330.0,5,9
330.0,5,8
330.0,5,12
330.0,5,18
330.0,5,21
330.0,5,29
330.0,5,7
330.0,5,23
330.0,5,32
330.0,5,25
330.0,4,22
330.0,4,10
330.0,4,11
330.0,4,24
330.0,4,26
330.0,4,31
330.0,4,0
330.0,4,19
330.0,4,20
330.0,4,9
330.0,4,8
330.0,4,12
330.0,4,18
330.0,4,21
330.0,4,29
330.0,4,7
330.0,4,23
330.0,4,32
330.0,4,25
330.0,22,10
330.0,22,11
330.0,22,24
330.0,22,26
330.0,22,31
330.0,22,0
330.0,22,19
330.0,22,20
330.0,22,9
330.0,22,8
330.0,22,12
330.0,22,18
330.0,22,21
330.0,22,29
330.0,22,7
330.0,22,23
330.0,22,32
330.0,22,25
330.0,10,11
330.0,10,24
330.0,10,26
330.0,10,31
330.0,10,0
330.0,10,19
330.0,10,20
330.0,10,9
330.0,10,8
330.0,10,12
330.0,10,18
330.0,10,21
330.0,10,29
330.0,10,7
330.0,10,23
330.0,10,32
330.0,10,25
330.0,11,24
330.0,11,26
330.0,11,31
330.0,11,0
330.0,11,19
330.0,11,20
330.0,11,9
330.0,11,8
330.0,11,12
330.0,11,18
330.0,11,21
330.0,11,29
330.0,11,7
330.0,11,23
330.0,11,32
330.0,11,25
330.0,24,26
330.0,24,31
330.0,24,0
330.0,24,19
330.0,24,20
330.0,24,9
330.0,24,8
330.0,24,12
330.0,24,18
330.0,24,21
330.0,24,29
330.0,24,7
330.0,24,23
330.0,24,32
330.0,24,25
330.0,26,31
330.0,26,0
330.0,26,19
330.0,26,20
330.0,26,9
330.0,26,8
330.0,26,12
330.0,26,18
330.0,26,21
330.0,26,29
330.0,26,7
330.0,26,23
330.0,26,32
330.0,26,25
330.0,31,0
330.0,31,19
330.0,31,20
330.0,31,9
330.0,31,8
330.0,31,12
330.0,31,18
330.0,31,21
330.0,31,29
330.0,31,7
330.0,31,23
330.0,31,32
330.0,31,25
330.0,0,19
330.0,0,20
330.0,0,9
330.0,0,8
330.0,0,12
330.0,0,18
330.0,0,21
330.0,0,29
330.0,0,7
330.0,0,23
330.0,0,32
330.0,0,25
330.0,19,20
330.0,19,9
330.0,19,8
330.0,19,12
330.0,19,18
330.0,19,21
330.0,19,29
330.0,19,7
330.0,19,23
330.0,19,32
330.0,19,25
330.0,20,9
330.0,20,8
330.0,20,12
330.0,20,18
330.0,20,21
330.0,20,29
330.0,20,7
330.0,20,23
330.0,20,32
330.0,20,25
330.0,9,8
330.0,9,12
330.0,9,18
330.0,9,21
330.0,9,29
330.0,9,7
330.0,9,23
330.0,9,32
330.0,9,25
330.0,8,12
330.0,8,18
330.0,8,21
330.0,8,29
330.0,8,7
330.0,8,23
330.0,8,32
330.0,8,25
330.0,12,18
330.0,12,21
330.0,12,29
330.0,12,7
330.0,12,23
330.0,12,32
330.0,12,25
330.0,18,21
330.0,18,29
330.0,18,7
330.0,18,23
330.0,18,32
330.0,18,25
330.0,21,29
330.0,21,7
330.0,21,23
