Date,SOS008L02P,SOS005L04P,SOS003L04P,SOS002L09P,SOS001L12P,SOS500M24P,SOS250M48P,SOP001L12P,POV005L04P,POV002L09P,POV001L24P,POV500M24P,POP001L12P,POP015K,SO0005L04P,SO0002L09P,SO0001L12P,SO0500M24P,POP005L04P,POP002L09P,POP001L12P.1,POP500M24P,POPF01L12P,AT5X5K,ATN02K12P,ATN01K24P,MAR02K12P,MAR01K24P,ATWWP002K12P,ATWWP001K24P,MASR025K,MAHS025K,SE500G24P,SE200G24P,ATPPCH5X5K,ATPA1K24P,MAPA1K24P,MAP1K25P,MAC1K25P,EEA500G12P,EEA200G24P
2023-01-01 00:00:00,220.0,2598.0,287.0,2080.0,2748.0,1670.634,0.0,10.0,100.0,200.0,390.0,245.0,75.0,0,0,0,0,0,0.0,0.0,125.0,0.0,152.0,970,100.0,2600.0,0,480.0,0.0,0,0,43,1341.0,200,0,0,0,0,0,0,0
2023-01-02 00:00:00,485.0,4982.0,1048.0,4640.0,7560.0,3676.0,0.0,60.0,88.0,318.0,1250.0,1037.0,530.0,0,0,0,0,0,25.0,165.0,483.0,390.0,250.0,1720,705.0,3140.0,100,425.0,0.0,0,70,0,427.0,46,0,0,0,0,0,0,0
2023-01-03 00:00:00,520.0,11175.0,719.0,10801.0,12661.0,6334.5,0.0,0.0,195.0,401.0,938.0,530.0,916.0,0,0,0,0,0,36.0,28.0,201.0,50.0,64.0,2964,1685.0,3875.0,140,1110.0,0.0,0,160,5,435.0,0,0,0,0,0,0,0,0
2023-01-04 00:00:00,305.0,8286.0,1016.0,9004.0,12087.0,5525.0,0.0,297.0,160.0,51.0,800.0,525.0,930.0,0,0,0,0,0,105.0,91.0,254.0,162.0,200.0,2265,945.0,4318.0,108,1014.0,0.0,0,0,0,300.0,1,0,0,0,0,0,0,0
2023-01-05 00:00:00,320.0,9787.0,1120.0,8875.0,12414.0,4576.0,0.0,0.0,195.0,470.0,1365.0,860.0,978.0,0,0,0,0,0,30.0,30.0,470.0,275.0,160.0,1100,665.0,3869.0,300,1155.0,0.0,0,30,0,645.0,0,0,0,0,0,0,0,0
2023-01-06 00:00:00,390.0,8954.0,865.0,9742.0,8453.0,3090.0,0.0,140.0,135.0,235.0,955.0,778.0,315.0,0,0,0,0,0,30.0,160.0,140.0,70.0,0.0,1437,250.0,4322.0,0,1380.0,0.0,0,59,0,555.0,0,0,0,0,0,0,0,0
2023-01-07 00:00:00,300.0,5247.0,630.0,3564.0,5537.0,2169.0,0.0,40.0,100.0,314.0,230.0,190.0,950.0,0,0,0,0,0,0.0,90.0,530.0,130.0,540.0,1672,690.0,995.0,230,120.0,100.0,123,100,0,100.0,0,0,0,0,0,0,0,0
2023-01-08 00:00:00,78.0,9138.0,795.0,8324.0,8480.0,1840.0,1055.0,20.0,99.0,438.0,801.0,643.0,250.0,0,0,0,0,0,29.0,108.0,105.0,25.0,50.0,1009,720.0,1460.0,100,925.0,60.0,595,25,34,910.0,365,0,0,0,0,29,0,0
2023-01-09 00:00:00,115.0,7796.0,1215.0,825.0,11839.0,2367.0,1375.0,27.0,325.0,0.0,547.0,220.0,515.0,0,0,0,0,0,0.0,10.0,85.0,65.0,0.0,3129,1240.0,5775.0,241,1360.0,50.0,846,50,22,245.0,100,0,0,0,0,0,0,0
2023-01-10 00:00:00,398.0,12280.0,2360.0,0.0,11368.0,4366.0,937.0,20.0,80.0,0.0,1170.0,249.0,1500.0,0,0,0,0,0,25.0,61.0,412.0,213.0,50.0,1200,920.0,5990.0,160,453.0,50.0,15,230,130,537.0,0,0,0,0,0,0,0,0
