Date,SOS008L02P,SOS005L04P,SOS003L04P,SOS002L09P,SOS001L12P,SOS500M24P,SOS250M48P,SOP001L12P,POV005L04P,POV002L09P,POV001L24P,POV500M24P,POP001L12P,POP015K,SO0005L04P,SO0002L09P,SO0001L12P,SO0500M24P,POP005L04P,POP002L09P,POP001L12P.1,POP500M24P,POPF01L12P,AT5X5K,ATN02K12P,ATN01K24P,MAR02K12P,MAR01K24P,ATWWP002K12P,ATWWP001K24P,MASR025K,MAHS025K,SE500G24P,SE200G24P,ATPPCH5X5K,ATPA1K24P,MAPA1K24P,MAP1K25P,MAC1K25P,EEA500G12P,EEA200G24P
2023-01-01 00:00:00,1008,3008,0,2034,4016,1003,0,0,0,0,201,205,506,0,0,0,0,0,0,0,0,0,200,1500,200,3500,100,100,0,0,0,48,1000,0,0,0,0,0,0,0,0
2023-01-02 00:00:00,1014,6000,0,6000,7000,3500,0,0,154,305,804,603,1308,0,0,0,0,0,150,101,500,401,114,1500,500,4000,100,200,0,0,100,0,300,0,0,0,0,0,25,0,0
2023-01-03 00:00:00,0,4012,0,5053,10000,8500,0,0,0,1,701,900,0,0,0,0,0,0,0,0,306,300,0,2000,0,0,0,1200,0,0,0,0,300,0,0,0,0,0,0,0,0
2023-01-04 00:00:00,0,10497,2014,15478,10618,7281,0,10,0,707,2000,402,1208,0,0,0,0,0,0,201,800,205,260,2000,1700,3000,0,1400,0,0,5,0,100,0,0,0,0,0,0,0,0
2023-01-05 00:00:00,0,16000,2022,16000,15156,8000,0,400,500,404,1300,902,1033,0,0,0,0,0,100,102,508,101,54,2000,1000,5000,0,2500,0,0,0,0,1000,0,0,0,0,0,0,0,0
2023-01-06 00:00:00,0,5623,0,5015,5006,1603,0,0,0,0,1,311,238,0,0,0,0,0,0,0,1,0,0,1000,800,5,300,300,540,1000,100,0,400,0,0,0,0,0,0,0,0
2023-01-07 00:00:00,0,8001,0,3033,9314,2376,0,0,0,398,0,1007,800,0,0,0,0,0,0,151,0,306,0,1500,400,3000,7,300,0,883,45,56,400,295,0,0,0,0,0,0,0
2023-01-08 00:00:00,0,10000,2005,0,8386,0,1818,100,401,0,1202,0,1429,0,0,0,0,0,100,0,404,0,0,1500,0,3000,0,350,0,0,0,0,500,102,0,0,0,0,4,0,0
2023-01-09 00:00:00,0,6017,2014,0,10004,0,2974,0,0,0,1403,0,544,0,0,0,0,0,0,0,101,0,0,1500,1000,6000,500,800,0,433,114,0,150,65,0,0,0,0,0,0,0
2023-01-10 00:00:00,0,5057,1818,0,11726,3552,0,202,301,0,0,1500,1500,0,0,0,0,0,0,0,0,0,0,2000,1200,5050,300,2500,0,0,510,200,635,0,0,0,0,0,0,0,0
