Date,SOS008L02P,SOS005L04P,SOS003L04P,SOS002L09P,SOS001L12P,SOS500M24P,SOS250M48P,SOP001L12P,POV005L04P,POV002L09P,POV001L24P,POV500M24P,POP001L12P,POP015K,SO0005L04P,SO0002L09P,SO0001L12P,SO0500M24P,POP005L04P,POP002L09P,POP001L12P.1,POP500M24P,POPF01L12P,AT5X5K,ATN02K12P,ATN01K24P,MAR02K12P,MAR01K24P,ATWWP002K12P,ATWWP001K24P,MASR025K,MAHS025K,SE500G24P,SE200G24P,ATPPCH5X5K,ATPA1K24P,MAPA1K24P,MAP1K25P,MAC1K25P,EEA500G12P,EEA200G24P
2023-01-01 00:00:00,14.83776,55.3472,0.0,33.68304000000001,44.33664000000001,11.07312,0.0,0.0,0.0,0.0,2.19492,2.2386,5.525519999999999,0,0,0,0,0,0.0,0.0,0.0,0.0,2.184,37.5,4.8,84.0,2.4,2.4,0.0,0.0,0.0,1.2,6.0,0.0,0,0,0,0.0,0.0,0,0
2023-01-02 00:00:00,14.92608,110.4,0.0,99.36,77.28,38.64,0.0,0.0,2.8028,4.9959,8.77968,6.58476,14.28336,0,0,0,0,0,2.73,1.65438,5.46,4.37892,1.24488,37.5,12.0,96.0,2.4,4.8,0.0,0.0,2.5,0.0,1.8,0.0,0,0,0,0.0,0.6,0,0
2023-01-03 00:00:00,0.0,73.8208,0.0,83.67768000000001,110.4,93.84000000000002,0.0,0.0,0.0,0.01638,7.65492,9.828,0.0,0,0,0,0,0,0.0,0.0,3.34152,3.276,0.0,50.0,0.0,0.0,0.0,28.8,0.0,0.0,0.0,0.0,1.8,0.0,0,0,0,0.0,0.0,0,0
2023-01-04 00:00:00,0.0,193.1448,22.23456,256.31568,117.22272,80.38224000000001,0.0,0.1104,0.0,11.58066,21.84,4.38984,13.19136,0,0,0,0,0,0.0,3.29238,8.736,2.2386,2.8392,50.0,40.8,72.0,0.0,33.6,0.0,0.0,0.125,0.0,0.6,0.0,0,0,0,0.0,0.0,0,0
2023-01-05 00:00:00,0.0,294.4,22.32288,264.96,167.32224,88.32000000000002,0.0,4.416,9.1,6.61752,14.196,9.84984,11.28036,0,0,0,0,0,1.82,1.67076,5.547359999999999,1.10292,0.58968,50.0,24.0,120.0,0.0,60.0,0.0,0.0,0.0,0.0,6.0,0.0,0,0,0,0.0,0.0,0,0
2023-01-06 00:00:00,0.0,103.4632,0.0,83.04840000000002,55.26624,17.69712,0.0,0.0,0.0,0.0,0.01092,3.39612,2.59896,0,0,0,0,0,0.0,0.0,0.01092,0.0,0.0,25.0,19.2,0.12,7.2,7.2,12.96,24.0,2.5,0.0,2.4,0.0,0,0,0,0.0,0.0,0,0
2023-01-07 00:00:00,0.0,147.2184,0.0,50.22648000000001,102.82656,26.23104,0.0,0.0,0.0,6.51924,0.0,10.99644,8.736,0,0,0,0,0,0.0,2.47338,0.0,3.34152,0.0,37.5,9.6,72.0,0.168,7.2,0.0,21.192,1.125,1.4,2.4,1.416,0,0,0,0.0,0.0,0,0
2023-01-08 00:00:00,0.0,184.0,22.1352,0.0,92.58144,0.0,20.07072,1.104,7.2982,0.0,13.12584,0.0,15.60468,0,0,0,0,0,1.82,0.0,4.41168,0.0,0.0,37.5,0.0,72.0,0.0,8.4,0.0,0.0,0.0,0.0,3.0,0.4896,0,0,0,0.0,0.096,0,0
2023-01-09 00:00:00,0.0,110.7128,22.23456,0.0,110.44416,0.0,32.83296,0.0,0.0,0.0,15.32076,0.0,5.94048,0,0,0,0,0,0.0,0.0,1.10292,0.0,0.0,37.5,24.0,144.0,12.0,19.2,0.0,10.392,2.85,0.0,0.9,0.312,0,0,0,0.0,0.0,0,0
2023-01-10 00:00:00,0.0,93.0488,20.07072,0.0,129.45504,39.21408,0.0,2.230080000000001,5.4782,0.0,0.0,16.38,16.38,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50.0,28.8,121.2,7.2,60.0,0.0,0.0,12.75,5.0,3.81,0.0,0,0,0,0.0,0.0,0,0
