Date,SOS008L02P,SOS005L04P,SOS003L04P,SOS002L09P,SOS001L12P,SOS500M24P,SOS250M48P,SOP001L12P,POV005L04P,POV002L09P,POV001L24P,POV500M24P,POP001L12P,POP015K,SO0005L04P,SO0002L09P,SO0001L12P,SO0500M24P,POP005L04P,POP002L09P,POP001L12P.1,POP500M24P,POPF01L12P,AT5X5K,ATN02K12P,ATN01K24P,MAR02K12P,MAR01K24P,ATWWP002K12P,ATWWP001K24P,MASR025K,MAHS025K,SE500G24P,SE200G24P,ATPPCH5X5K,ATPA1K24P,MAPA1K24P,MAP1K25P,MAC1K25P,EEA500G12P,EEA200G24P
2023-01-01 00:00:00,455.0,2241.0,342.0000000000001,1698.0,3816.0,1554.999999999999,69.0,23.0,72.00000000000001,84.00000000000001,634.0000000000001,414.0,275.0,0,0.0,0.0,0.0,0.0,10.00098901098901,89.0,253.0,82.0,10.0,707.0,497.08,470.0,99.0,137.0,0.0,0.0,120,0,160.0,0.0,0,0,0,0,0,0,0.0
2023-01-02 00:00:00,326.9999999999999,8285.999999999998,1458.0,9240.000000000004,12683.0,5323.999999999998,66.0,60.0,85.0,345.0000000000001,1045.0,1111.0,690.0,0,0.0,0.0,0.0,0.0,7.000000000000001,100.0,276.0,129.0,297.9999999999999,2317.0,823.0,4269.0,236.0,962.0,0.0,0.0,129,0,980.0,55.22895833333333,0,0,0,0,0,0,0.0
2023-01-03 00:00:00,523.5,11279.75,1207.0,10290.44504830918,14731.16603260869,5393.500000000002,24.0,42.8320652173913,270.0,342.0,1061.0,442.0000000000001,483.0000000000001,0,0.0,0.0,0.0,0.0,35.0,114.0,417.9999999999999,281.0,75.0,2215.6,1166.25,4086.333,173.583,1007.875,0.0,1.0,26,18,854.5,203.0,0,0,0,0,0,0,0.0
2023-01-04 00:00:00,158.0,9897.000000000002,1435.999999999999,10267.88695652174,13842.66603260868,5641.000000000001,0.0,264.9999999999999,155.0,193.0000000000001,1071.0,439.9999999999999,905.0,0,0.0,0.0,0.0,0.0,73.0,109.0,348.0000000000001,282.9999999999999,110.0,2439.0,923.0,5124.333,103.0,1387.0,0.0,15.0,24,17,583.0,66.77104166666666,0,0,0,0,0,0,0.0
2023-01-05 00:00:00,351.4999999999999,8843.249999999998,895.9999999999999,7193.276992753623,9933.416938405791,4089.000000000001,0.0,43.41702898550724,151.0,339.9999999999999,1143.0,904.0,1098.0,0,0.0,0.0,0.0,0.0,5.0,5.000000000000001,213.0,51.00000000000001,24.0,735.8,875.0,3566.958,176.0,361.865,0.0,1.0,62,15,347.667,35.0,0,0,0,0,0,0,0.0
2023-01-06 00:00:00,55.0,5192.999999999999,769.9999999999999,4396.999999999998,5391.999999999998,1960.0,0.0,130.0,175.0,330.0,580.0,430.0000000000001,430.0000000000001,0,0.0,0.0,0.0,0.0,25.0,50.0,204.0,115.0,78.0,1147.0,348.0,2012.0,5.0,265.0,0.0,3.0,0,0,230.0,0.0,0,0,0,0,0,0,0.0
2023-01-07 00:00:00,434.0000000000001,10303.0,1099.0,8929.164009661832,12888.0,4485.0,10.0,44.99999999999999,169.0,179.0,586.0000000000001,480.0000000000001,924.0,0,0.0,0.0,0.0,0.0,43.0,30.99700854700855,197.0,96.0,660.0000000000001,1667.0,755.0,2064.0,247.0,1405.0,0.0,5.0,60,0,863.0,12.22895833333333,0,0,0,0,0,0,0.0
2023-01-08 00:00:00,243.0,6682.999999999999,626.9999999999999,5750.110024154586,6249.000000000002,3124.999999999998,449.9999999999999,49.99999999999999,110.0,150.0,725.0000000000001,548.0000000000001,323.0000000000001,0,0.0,0.0,0.0,0.0,25.0,40.0,243.0,119.0,115.0,1225.0,897.0,1508.0,211.0,562.0,30.0,36.0,79,0,284.0,220.0,0,0,0,0,0,0,0.0
2023-01-09 00:00:00,162.0,9287.25,1543.0,6022.776026570051,11546.99999999999,3557.602807971015,788.9999999999999,40.0,178.0,245.0000000000001,1013.0,500.0,742.0,0,0.0,0.0,0.0,0.0,0.0,69.0,274.0,90.0,66.99999999999999,3501.94,1527.0,7875.0,162.0,1617.01,111.166,147.0,124,47,541.0,145.0,0,0,0,0,25,0,0.0
2023-01-10 00:00:00,455.9999999999999,8821.249999999998,1228.0,3301.110990338163,12117.0,3643.999999999999,759.9999999999998,13.0,125.0,305.0,437.0,343.9999999999999,1155.0,0,0.0,0.0,0.0,0.0,30.0,108.0,267.0000000000001,125.0,50.0,1559.0,759.0,5823.0,88.0,882.9900000000001,15.0,256.625,172,130,770.0,100.0,0,0,0,0,4,0,0.0
2023-01-11 00:00:00,181.0,9323.250000000004,1781.0,1452.555978260869,13574.0,4492.000996376813,930.9999999999998,0.0,317.0,47.00000000000001,1237.0,686.0,1147.0,0,0.0,0.0,0.0,0.0,21.0,111.0,329.0,272.0,21.0,2590.0,1041.0,6757.0,263.0,1121.0,85.0,190.0,256,7,471.0,0.0,0,0,0,0,0,0,0.0
2023-01-12 00:00:00,477.9999999999999,7213.249999999998,810.9999999999994,3465.442995169081,9718.666032608691,4413.000996376813,592.9999999999995,126.0,202.0,0.0,645.0,912.0,1480.0,0,0.0,0.0,0.0,0.0,34.0,20.0,424.0,260.0,0.0,1824.0,1272.0,4685.0,145.0,1186.0,35.0,185.0,94,0,667.0,20.0,0,0,0,0,0,0,0.0
2023-01-13 00:00:00,260.0,4347.999999999999,788.9999999999998,3903.999999999999,5948.999999999999,1639.0,284.0,71.08396739130434,90.0,225.0,720.0,476.0,175.0,0,0.0,0.0,0.0,0.0,35.0,37.00000000000001,238.0,14.0,400.0,538.0,86.0,3114.0,30.0,142.0,2.0,32.0,55,0,396.0,60.0,0,0,0,0,0,0,0.0
2023-01-14 00:00:00,628.9999999999999,6483.999999999999,691.9999999999997,7204.889009661837,7987.999999999995,3378.010960144928,355.0,30.0,103.0,17.0,390.0,329.0000000000001,1399.0,0,0.0,0.0,0.0,0.0,15.0,23.0,296.0,230.0,222.0,1218.0,850.0,3596.0,130.0,871.0099999999999,0.0,106.0,84,104,376.0,119.0,0,0,0,0,20,0,0.0
2023-01-15 00:00:00,347.0000000000001,3963.75,725.9999999999999,4786.332971014493,6506.999999999999,2760.375,378.9999999999999,3.0,118.0,170.0,636.9999999999999,245.0,881.0,0,0.0,0.0,0.0,0.0,111.999010989011,72.00299145299145,262.0000000000001,125.0,10.0,901.0,830.0,2749.0,64.0,512.999,0.0,80.0,185,25,1140.0,132.7710416666667,0,0,0,0,0,0,0.0
2023-01-16 00:00:00,418.0000000000001,10404.5,1225.75,9461.66696859903,11571.6660326087,6092.999003623193,155.0,85.91603260869564,279.0,633.9999999999999,1802.0,1015.0,791.0,0,0.0,0.0,0.0,0.0,40.0,120.0,298.0000000000001,114.0,75.0,2454.0,1149.25,5748.167,150.25,1256.917,56.083,62.792,15,0,1262.667,94.0,0,0,0,0,0,0,0.0
2023-01-17 00:00:00,808.0,7288.0,1077.0,9604.332971014492,12099.0,4664.99900362319,190.0,96.0,133.0,336.0000000000001,961.0,821.0,1065.0,0,0.0,0.0,0.0,0.0,32.0,103.0,330.0,370.0,200.0,1990.0,2221.166,5458.875,202.0,853.0,50.0,113.0,401,150,1754.0,84.0,0,0,0,0,0,0,0.0
2023-01-18 00:00:00,611.5,6696.749999999999,1248.999999999999,6932.999999999999,9191.000000000004,2821.000000000002,901.0,37.0,273.0000000000001,335.0,1413.0,787.9999999999999,665.0,0,0.0,0.0,0.0,0.0,10.0,6.0,63.00100732600733,115.0,600.0,2063.6,969.0,3887.042,278.0,331.542,0.0,31.042,111,0,804.0,45.0,0,0,0,0,0,0,0.0
2023-01-19 00:00:00,435.0000000000001,5372.249999999999,863.9999999999998,4531.221980676326,8171.000000000003,3468.0,601.9999999999997,271.0,285.0,220.0,890.9999999999998,465.9999999999999,674.0,0,0.0,0.0,0.0,0.0,69.0,130.0,188.0,100.0,250.0,1751.0,494.0,3563.0,92.0,738.0,15.0,50.0,55,45,1446.998,41.20791666666667,0,0,0,100,0,0,0.0
2023-01-20 00:00:00,98.0,6583.999999999999,573.9999999999998,5765.999999999998,8166.999999999999,3231.0,255.0,163.9170289855072,185.0,603.0000000000001,1652.0,864.9999999999999,640.0,0,0.0,0.0,0.0,0.0,0.0,33.0,176.0,55.0,0.0,715.0,306.0,1778.0,31.0,183.0,0.0,44.0,0,0,877.0,70.0,0,0,0,0,0,0,0.0
2023-01-21 00:00:00,480.0,6058.5,654.9999999999999,4157.889009661835,5833.999999999998,2523.0,510.9999999999999,10.0,94.0,257.0,780.0,610.0000000000001,930.0,0,0.0,0.0,0.0,0.0,105.0,293.0,1031.0,165.0,105.0,1231.0,1094.5,3815.0,87.0,636.0,8.0,86.0,72,12,1127.0,170.0,0,0,0,0,12,0,0.0
2023-01-22 00:00:00,1317.5,3308.0,1341.670018115942,4075.326992753623,5543.999999999998,2106.659963768116,347.0000000000001,52.0,60.0,51.0,210.0,218.0,270.0000000000001,0,0.0,0.0,0.0,0.0,81.0,89.0,354.0,74.0,467.9999999999999,770.0,460.0,1555.0,116.0,498.0,4.0,46.0,21,0,529.0,64.0,0,0,0,0,0,0,0.0
2023-01-23 00:00:00,325.9999999999999,6221.5,875.2499999999998,6641.221980676328,11854.0,4867.000000000002,254.0,59.99999999999999,107.0,260.0,1831.0,829.0000000000002,839.0000000000001,0,0.0,0.0,0.0,0.0,131.0,77.0,521.9999999999999,134.0,354.0000000000001,847.4,827.0,3407.667,182.0,759.667,17.0,53.0,60,30,1058.417,76.0,0,0,0,0,26,0,0.0
2023-01-24 00:00:00,746.0,6427.999999999999,705.9999999999995,6276.110990338164,10093.0,5025.000000000001,345.0009963768115,259.0,50.0,343.0000000000001,1091.0,246.0,1174.0,0,0.0,0.0,0.0,0.0,8.0,9.000000000000002,212.0,87.0,360.0,965.0,856.0,3326.0,289.0,655.0,7.0,61.0,250,77,1104.0,100.0,0,0,0,0,0,0,0.0
2023-01-25 00:00:00,605.0,5415.499999999998,778.9999999999995,5498.332971014497,8048.000000000002,4075.000000000003,302.0,244.0,223.0,284.0,1034.0,591.0,1150.0,0,0.0,0.0,0.0,0.0,15.0,50.99999999999999,189.0,30.0,75.0,839.0,907.0,3299.0,109.0,592.0,6.0,52.0,206,10,883.0,70.79208333333334,0,0,0,0,0,0,0.0
2023-01-26 00:00:00,614.0,5839.999999999999,630.9999999999998,4129.999999999998,7426.000000000004,3439.0,367.0,43.99999999999999,104.0,233.0,714.0000000000001,627.0000000000001,240.0,0,0.0,0.0,0.0,0.0,170.0,169.0,475.7499999999999,201.0,540.0,334.0,771.0,2726.0,41.0,980.001,6.0,78.0,0,20,341.0,39.00000000000001,0,0,0,0,0,0,0.0
2023-01-27 00:00:00,63.0,3645.0,707.0,3637.999999999999,5149.000000000002,2797.0,175.0,90.0,65.0,81.0,1001.0,144.0,50.0,0,0.0,0.0,0.0,0.0,0.0,14.0,39.24999999999999,100.0,502.0,837.0,575.0,2047.0,10.0,465.0,0.0,38.0,0,0,584.167,32.0,0,0,0,0,0,0,0.0
2023-01-28 00:00:00,861.9999999999999,5391.499999999999,525.9999999999999,4095.999999999999,6438.999999999998,2700.000000000001,167.0,187.0,165.0,279.0000000000001,1323.0,1313.0,226.0,0,0.0,0.0,0.0,0.0,124.0,81.00000000000001,84.75,37.0,205.0,424.0,663.0,2278.0,140.0,286.0,10.0,41.0,46,50,1106.0,38.0,0,0,0,0,0,0,0.0
2023-01-29 00:00:00,375.0,4789.999999999999,1268.0,3357.332971014492,5238.999999999999,1639.999999999999,82.99999999999999,225.0,118.0,115.0,454.0000000000001,288.0000000000001,1165.0,0,0.0,0.0,0.0,0.0,28.0,50.0,207.2500000000001,68.0,234.0,1132.0,270.0,1177.0,112.0,281.0,33.0,34.0,75,8,510.833,10.0,0,0,0,0,0,0,0.0
2023-01-30 00:00:00,279.9999999999999,7788.999999999998,984.9999999999995,5580.221980676329,8616.999999999996,4140.000000000001,200.0,59.00000000000001,90.0,239.0,824.0,238.0,453.0,0,0.0,0.0,0.0,0.0,19.0,27.0,289.0,22.0,720.0,1406.0,1596.0,4516.0,258.0,720.0,7.0,43.0,60,0,1158.167,0.0,0,0,0,0,0,0,0.0
2023-01-31 00:00:00,792.0000000000003,11903.0,1575.0,8391.443961352657,13380.16603260869,4929.000000000002,415.9999999999999,647.0,545.0,800.0,2528.0,1485.0,1516.0,0,0.0,0.0,0.0,0.0,22.0,93.0,159.9989926739927,24.0,100.0,767.0,870.916,5276.417,165.916,1140.75,14.73,68.137,90,15,811.0,49.00000000000001,0,0,0,0,28,0,0.0
2023-02-01 00:00:00,1221.0,3513.5,262.0,2520.889009661836,3644.0,1655.0,434.9999999999999,0.0,149.0,383.0,492.0000000000001,270.0,0.0,0,0.0,0.0,0.0,0.0,53.0,61.0,151.0,67.0,35.00000000000001,1593.0,1070.0,2606.0,347.0,647.0,21.021,97.0,80,11,755.0,0.0,0,0,0,0,0,0,0.0
2023-02-02 00:00:00,386.0,8916.999999999998,1009.0,7400.999999999998,10486.0,3725.000000000001,501.9990036231884,113.0,204.0,306.0,677.0,600.0,330.0,0,0.0,0.0,0.0,0.0,29.0,116.0,346.0,170.0,16.0,197.0,152.0,2467.0,57.0,819.0,0.0,59.0,128,0,326.0,131.0,0,0,0,0,20,0,0.0
2023-02-03 00:00:00,376.9999999999999,8453.25,1107.0,6327.999999999999,9984.999999999998,3439.000000000001,311.0,10.0,288.0000000000001,269.0000000000001,1791.0,1010.0,250.0,0,0.0,0.0,0.0,0.0,20.0,225.0,369.0,305.0,205.0,221.0,261.0,1738.0,8.0,368.0,0.0,0.0,0,5,169.0,0.0,0,0,0,0,0,0,0.0
2023-02-04 00:00:00,525.0,5872.999999999999,503.4999999999998,5245.549999999998,5231.416032608695,2171.614039855072,266.0,29.91603260869565,55.0,96.0,964.0,675.0,1773.841941391941,0,0.0,0.0,0.0,0.0,70.0,95.0,300.0,222.0,100.0,195.4,590.75,1227.13,210.33,568.33,0.0,45.0,249,0,711.3299999999999,149.0,0,0,0,0,0,0,0.0
2023-02-05 00:00:00,1211.5,9460.500000000002,1044.25,5086.110990338163,7341.500996376812,2776.71893115942,208.9999999999999,167.5829710144927,337.0,670.0000000000001,1949.0,1147.0,1450.0,0,0.0,0.0,0.0,0.0,40.0,276.0,798.0000000000001,508.0000000000001,390.0,445.0,568.0,1866.625,281.0,667.583,0.0,27.0,120,39,665.083,86.0,0,0,0,0,72,0,0.0
2023-02-06 00:00:00,1390.0,13319.0,1212.0,8742.0,14596.99999999999,6723.000000000001,184.0,4.999999999999999,201.0,240.0,1332.0,334.0,1308.0,0,0.0,0.0,0.0,0.0,2.0,30.0,273.0000000000001,252.0,370.0,913.0,1026.0,3691.0,194.0,569.0,0.0,9.0,190,0,746.0,208.0,0,0,0,0,38,0,0.0
2023-02-07 00:00:00,1123.0,13264.0,1382.0,9131.000000000007,14290.0,4821.001992753622,80.0,0.0,140.0,677.0000000000001,2014.0,1753.0,1400.0,0,0.0,0.0,0.0,0.0,190.0,257.9970085470085,631.0,445.0000000000001,10.0,1370.0,763.0,2876.0,130.0,929.0,0.0,8.0,265,0,876.167,45.0,0,0,0,0,25,0,0.0
2023-02-08 00:00:00,800.0000000000001,14462.5,1491.0,8269.000000000005,13893.33396739131,4458.000000000001,0.0,0.0,95.0,522.0000000000001,1729.0,634.0,640.0,0,0.0,0.0,0.0,0.0,333.0000000000001,214.0000000000001,780.0,253.0,709.0000000000001,742.0,1248.0,2176.16,242.0,488.16,0.0,0.0,100,70,574.0,41.0,0,0,0,0,0,0,0.0
