Date,SOS008L02P,SOS005L04P,SOS003L04P,SOS002L09P,SOS001L12P,SOS500M24P,SOS250M48P,SOP001L12P,POV005L04P,POV002L09P,POV001L24P,POV500M24P,POP001L12P,POP015K,SO0005L04P,SO0002L09P,SO0001L12P,SO0500M24P,POP005L04P,POP002L09P,POP001L12P.1,POP500M24P,POPF01L12P,AT5X5K,ATN02K12P,ATN01K24P,MAR02K12P,MAR01K24P,ATWWP002K12P,ATWWP001K24P,MASR025K,MAHS025K,SE500G24P,SE200G24P,ATPPCH5X5K,ATPA1K24P,MAPA1K24P,MAP1K25P,MAC1K25P,EEA500G12P,EEA200G24P
2023-01-01 00:00:00,3.2384,47.8032,3.168480000000001,34.4448,30.33792,18.44379936,0.0,0.1104,0,3.276,4.2588,2.6754,0.819,0,0,0,0,0,0.0,0.0,1.365,0.0,1.65984,24.25,2.4,62.4,0.0,11.52,0.0,0.0,0.0,1.075,8.046,0.96,0,0,0,0.0,0.0,0,0
2023-01-02 00:00:00,7.139200000000001,91.66880000000002,11.56992,76.83840000000001,83.4624,40.58304,0.0,0.6624000000000001,0,5.208839999999999,13.65,11.32404,5.7876,0,0,0,0,0,0.455,2.7027,5.27436,4.2588,2.73,43.0,16.92,75.36,2.4,10.2,0.0,0.0,1.75,0.0,2.562,0.2208,0,0,0,0.0,0.0,0,0
2023-01-03 00:00:00,7.654400000000001,205.62,7.93776,178.86456,139.77744,69.93288000000001,0.0,0.0,0,6.568379999999999,10.24296,5.7876,10.00272,0,0,0,0,0,0.6551999999999999,0.45864,2.19492,0.546,0.69888,74.1,40.44,93.0,3.36,26.64,0.0,0.0,4.0,0.125,2.61,0.0,0,0,0,0.0,0.0,0,0
2023-01-04 00:00:00,4.4896,152.4624,11.21664,149.10624,133.44048,60.99600000000001,0.0,3.27888,0,0.83538,8.736,5.733,10.1556,0,0,0,0,0,1.911,1.49058,2.77368,1.76904,2.184,56.625,22.68,103.632,2.592,24.336,0.0,0.0,0.0,0.0,1.8,0.0048,0,0,0,0.0,0.0,0,0
2023-01-05 00:00:00,4.710400000000001,180.0808,12.3648,146.97,137.05056,50.51904,0.0,0.0,0,7.6986,14.9058,9.3912,10.67976,0,0,0,0,0,0.546,0.4914,5.1324,3.003,1.7472,27.5,15.96,92.856,7.2,27.72,0.0,0.0,0.75,0.0,3.87,0.0,0,0,0,0.0,0.0,0,0
2023-01-06 00:00:00,5.7408,164.7536,9.5496,161.32752,93.32112,34.11360000000001,0.0,1.5456,0,3.8493,10.4286,8.49576,3.4398,0,0,0,0,0,0.546,2.6208,1.5288,0.7644,0.0,35.925,6.0,103.728,0.0,33.12,0.0,0.0,1.475,0.0,3.33,0.0,0,0,0,0.0,0.0,0,0
2023-01-07 00:00:00,4.416,96.54480000000002,6.9552,59.01984000000001,61.12848,23.94576,0.0,0.4416,0,5.14332,2.5116,2.0748,10.374,0,0,0,0,0,0.0,1.4742,5.7876,1.4196,5.8968,41.8,16.56,23.88,5.52,2.88,2.4,2.952,2.5,0.0,0.6,0.0,0,0,0,0.0,0.0,0,0
2023-01-08 00:00:00,1.14816,168.1392,8.776800000000001,137.84544,93.6192,20.3136,11.6472,0.2208,0,7.17444,8.74692,7.02156,2.73,0,0,0,0,0,0.5277999999999999,1.76904,1.1466,0.273,0.546,25.225,17.28,35.04,2.4,22.2,1.44,14.28,0.625,0.85,5.46,1.752,0,0,0,0.0,0.696,0,0
2023-01-09 00:00:00,1.6928,143.4464,13.4136,13.662,130.70256,26.13168,15.18,0.2980800000000001,0,0.0,5.97324,2.4024,5.6238,0,0,0,0,0,0.0,0.1638,0.9282,0.7098,0.0,78.225,29.76,138.6,5.784,32.64,1.2,20.304,1.25,0.55,1.47,0.48,0,0,0,0.0,0.0,0,0
2023-01-10 00:00:00,5.858560000000001,225.952,26.0544,0.0,125.50272,48.20064000000001,10.34448,0.2208,0,0.0,12.7764,2.71908,16.38,0,0,0,0,0,0.455,0.99918,4.49904,2.32596,0.546,30.0,22.08,143.76,3.84,10.872,1.2,0.36,5.75,3.25,3.222,0.0,0,0,0,0.0,0.0,0,0
2023-01-11 00:00:00,7.59552,194.4696,25.34784000000001,0.0,177.36864,71.73792000000002,7.8936,1.104,0,0.0,11.5206,10.4832,8.17908,0,0,0,0,0,1.274,0.0,7.01064,7.33824,0.0,72.625,45.0,150.72,4.08,44.52,1.2,0.24,4.375,0.075,4.14,0.0,0,0,0,0.0,0.0,0,0
