Date,SOS008L02P,SOS005L04P,SOS003L04P,SOS002L09P,SOS001L12P,SOS500M24P,SOS250M48P,SOP001L12P,POV005L04P,POV002L09P,POV001L24P,POV500M24P,POP001L12P,POP015K,SO0005L04P,SO0002L09P,SO0001L12P,SO0500M24P,POP005L04P,POP002L09P,POP001L12P.1,POP500M24P,POPF01L12P,AT5X5K,ATN02K12P,ATN01K24P,MAR02K12P,MAR01K24P,ATWWP002K12P,ATWWP001K24P,MASR025K,MAHS025K,SE500G24P,SE200G24P,ATPPCH5X5K,ATPA1K24P,MAPA1K24P,MAP1K25P,MAC1K25P,EEA500G12P,EEA200G24P
2023-01-01 00:00:00,19.9456,231.7296000000001,21.51696000000005,241.0473600000002,236.1897599999999,94.41408000000004,12.79536,1.104,6.333600000000001,9.385739999999998,19.97268,14.73108,13.65,0.0,0.0,0.0,0.0,0.0,1.5106,3.734639999999999,7.676759999999998,4.684679999999999,8.517599999999998,66.05,43.656,124.416,11.136,38.568,2.4,1.008,2.4,0.625,9.042,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 00:00:00,4.97536,214.8568,20.33568000000002,216.6876000000001,188.3313599999999,79.56527999999999,5.542079999999997,1.7664,2.912,6.224399999999998,13.94484,6.104279999999999,12.285,0.0,0.0,0.0,0.0,0.0,1.274,2.2932,5.03412,2.28228,2.32596,26.75,30.744,104.28,7.44,23.976,0.36,0.888,0.525,0.0,3.612,0.5232,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 00:00:00,3.326719999999999,157.3384,12.5304,141.9706679999998,134.44512,46.74336000000004,3.2016,3.069119999999999,3.458,4.5045,10.90908,7.305479999999998,7.152600000000001,0.0,0.0,0.0,0.0,0.0,0.455,0.9009,3.7128,2.19492,0.9282,58.875,17.664,141.391992,1.512,48.096,0.264,1.224,0.875,0.0,8.178,0.48,0.0,0.0,0.0,0.0,0.288,0.0,0.0
2023-01-04 00:00:00,3.289919999999999,196.2774,10.67567999999999,140.546558,120.557716,44.66784,5.3544,0.6449239999999999,4.295199999999999,7.174440000000001,13.65,8.52852,9.664200000000005,0.0,0.0,0.0,0.0,0.0,0.546,2.44062,3.37428,1.0374,0.6006,22.745,12.552,112.774992,1.56,18.261,1.2,1.176,1.15,0.05,4.540002,0.624,0.0,0.0,0.0,0.0,0.6,0.0,0.0
2023-01-05 00:00:00,3.42976,273.4976,19.68432000000001,197.4467019999998,186.9182400000001,70.18128000000002,6.127199999999999,0.6955200000000001,3.822,6.126120000000002,12.14304,9.29292,17.81052,0.0,0.0,0.0,0.0,0.0,0.8917999999999999,2.01474,3.822,2.2932,2.1294,87.6,22.32,85.248,8.736,27.096,0.0,0.432,6.1,0.925,8.388,0.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-06 00:00:00,0.0,0.0,0.0,0.001822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-07 00:00:00,0.2208,59.17439999999998,3.3672,26.19791999999999,15.66576,8.78784,1.25856,0.3864,2.457,2.7846,5.7876,7.9716,7.098,0.0,0.0,0.0,0.0,0.0,0.0,0.1638,0.273,0.0546,0.0,0.25,14.592,7.776,3.528,1.944,0.0,0.0,11.925,0.0,0.144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-08 00:00:00,22.38911999999999,244.6832,21.27408,196.370302,190.3627199999999,79.47695999999996,5.4648,0.7948800000000001,4.732,6.3882,11.81544,5.97324,19.63416,0.0,0.0,0.0,0.0,0.0,0.637,1.8837,5.85312,3.4944,6.704879999999998,83.05,42.768,233.136,3.288,50.4,0.672,2.424,5.775,6.0,9.318,0.4656,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-09 00:00:00,2.09024,194.7916000000001,20.99808000000001,96.60550900000004,172.5331199999999,69.66239999999996,7.098719999999997,0.9384,3.822,5.896800000000001,15.1788,9.0636,38.48208000000001,0.0,0.0,0.0,0.0,0.0,1.638,1.0647,5.591039999999999,4.193280000000001,9.9918,56.35,22.2,160.704,1.512,26.376,0.144,1.92,0.85,0.0,6.978,0.2592,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-10 00:00:00,4.29824,131.3208,13.70063999999999,65.380718,149.29392,39.52320000000002,5.045279999999999,1.67808,4.6774,1.5561,8.867040000000001,6.4428,1.9656,0.0,0.0,0.0,0.0,0.0,0.7462000000000001,0.88452,4.5318,2.544360000000001,0.5023200000000001,60.35,42.984,177.912,12.768,29.664,3.6,2.28,2.375,0.75,6.012,0.2304,0.0,0.0,0.0,0.0,0.0,0.0,0.0
